Question ,Answer 
Tiêu chí nào ?? xét t?ng l??ng?,B?n có th? liên h? Line Manager ?? bi?t thêm chi ti?t KPI và tiêu chí ?? t?ng l??ng. 
Công ty có t? ch?c ti?c sinh nh?t cho nhân viên không?,Công ty có mua bánh kem m?ng sinh nh?t nhân viên t?p th? m?i tháng. 
Công ty có th??ng sinh nh?t cho nhân viên không?,"?? chúc m?ng cho nhân viên, công ty có t?ng cho m?i nhân viên 1 ngày ngh? phép Sinh nh?t m?i n?m. B?n có th? apply ??n ngh? cho ngày sinh nh?t ho?c tr??c / sau ngày sinh nh?t kho?ng 3 ngày."
Tôi có bao nhiêu ngày ngh? phép m?i n?m?,"Hi?n t?i, theo chính sách công ty, m?i n?m m?i nhân viên có:
- 12 ngày ngh? phép có l??ng
- 1 ngày ngh? phép cho d?p sinh nh?t ???c h??ng l??ng
- 3 ngày ngh? phép h??ng l??ng cho Compassionate 
- 3 ngày ngh? phép h??ng l??ng cho Marriage
- 30 ngày ngh? b?nh ???c h??ng % l??ng tu? theo chính sách b?o hi?m xã h?i.
?? bi?t thêm chi ti?t, vui lòng liên h?:
1. Miss Trang: trang.cuvuthanh@tmf-group.com
2. People Service: peopleservices@themission.co.uk "
N?u tôi không dùng h?t ngày ngh? phép thì có ???c hoàn ti?n hay ?? dành cho n?m sau?,"B?n s? không ???c hoàn ti?n cho ngày phép nh?ng s? ngày phép còn l?i (t?i ?a 5 ngày) s? ???c c?ng vào n?m làm vi?c ti?p theo. ?? bi?t thêm chi ti?t, vui lòng liên h? People Service: peopleservices@themission.co.uk "
"V?n ?? l??ng b?ng, tôi có th? h?i ai?",B?n có th? liên h? Line Manager cho nh?ng v?n ?? liên quan ??n l??ng.
"L??ng tôi ít h?n tháng tr??c, b?n bi?t t?i sao không?","Xin l?i nh?ng tôi ch?a th? tr? l?i câu h?i này. Tuy nhiên, b?n có th? liên h? Miss Trang: trang.cuvuthanh@tmf-group.com ?? nh?n gi?i ?áp cho câu h?i này. "
Công ty có ch? ?? ti?n th??ng sau m?i d? án không?,"Công ty chúng ta không có ch? ?? ti?n th??ng sau m?i d? án nh?ng có chính sách ti?n th??ng m?i tháng cho nh?ng cá nhân có bi?u hi?n làm vi?c xu?t s?c trong tháng. ?? n?m thêm tiêu chí, vui lòng liên h? Line Manager c?a b?n."
Công ty có th??ng hàng tháng?,"Công ty có chính sách ti?n th??ng m?i tháng cho nh?ng cá nhân có bi?u hi?n làm vi?c xu?t s?c trong tháng. ?? n?m thêm tiêu chí, vui lòng liên h? Line Manager c?a b?n."
"Tôi không có bug, t?i sao không ???c th??ng?",Vui lòng liên h? Line Manager c?a b?n và Project Manager cho v?n ?? này.
Ch? ?? th??ng dành cho l?p trình viên,Vui lòng liên h? Line Manager c?a b?n và Project Manager cho v?n ?? này.
Ch? ?? th??ng dành cho k? s? h? th?ng,Vui lòng liên h? Line Manager c?a b?n và Project Manager cho v?n ?? này.
Ch? ?? th??ng dành cho QA,Vui lòng liên h? Line Manager c?a b?n và Project Manager cho v?n ?? này.
Ch? ?? th??ng dành cho qu?n lý d? án,Vui lòng liên h? Line Manager c?a b?n và Project Manager cho v?n ?? này.
Công ty có quà T?t không?,"Quà T?t cho ng??i lao ??ng không ph?i là m?t quy ??nh b?t bu?c ??i v?i doanh nghi?p. Mà c?n c? vào tình hình ho?t ??ng kinh doanh c?a công ty, các ch? s? m?c tiêu, n?ng su?t làm vi?c và m?c ?? hoàn thành công vi?c có th? xây d?ng quy ch? n?i b? c?a doanh nghi?p v? vi?c quà T?t cho ng??i lao ??ng."
Tôi ???c ngh? Giáng sinh không?,Giáng sinh không n?m trong danh sách ngày ngh? L? c?a nhà n??c.
"Tôi thi r?t, tôi có n? công ty ti?n không?","N?u b?n thi ch?ng ch? không thành công, công ty s? không yêu c?u b?t k? kho?n thanh toán nào. Tuy nhiên, b?n ph?i ch? sau l??t Review l??ng ti?p theo m?i ???c ??ng ký thi l?i."
"Tôi mu?n h?c thêm, công ty có tài tr? ti?n h?c?",B?n có th? liên h? Line Manager cho nh?ng v?n ?? liên quan ??n vi?c công ty tài tr? các khoá h?c.
Tôi ph?i n?p ??n xin ngh? vi?c bao nhiêu ngày?,"Thông th??ng, b?n ph?i apply tr??c 45 ngày. Tuy nhiên, ?? bi?t chính xác h?n, vui lòng ki?m tra l?i h?p ??ng b?n ?ã ký v?i công ty. "
Ngày tr? ti?n l??ng m?i tháng là bao nhiêu?,Công ty th??ng tr? l??ng t? ngày 27 ??n ngày 30 m?i tháng. 
Công ty có tr? ti?n OT không?,Công ty có tr? l??ng OT
"Tôi làm ngày ngh?, công ty có tr? ti?n OT nh? lu?t Nhà n??c?","L??ng OT s? thay ??i theo quy ??nh nhà n??c. ?? có th? n?m thông tin chính xác nh?t, vui lòng liên h?: 
1. Miss Trang: trang.cuvuthanh@tmf-group.com
2. People Service: peopleservices@themission.co.uk "
Công ty có ?n T?t niên không?,Công ty có ngân sách cho các kho?n Event và ngân sách này s? do ng??i lao ??ng quy?t ??nh.
Công ty có t?ng quà sinh nh?t cho nhân viên không?,"Hi?n t?i, công ty ch?a có ch? ?? t?ng quà sinh nh?t cho nhân viên. Tuy nhiên, công ty có t? ch?c sinh nh?t t?p th? cho nhân viên c?ng nh? t?ng 1 ngày phép h??ng l??ng cho nhân viên nhân ngày sinh nh?t."
Công ty có tài tr? chi phí h?c ti?ng Anh cho nhân viên không?,"Hi?n t?i, công ty ch?a có chính sách này."
"Máy tính tôi b? h?, tôi có th? liên h? ai?",B?n có th? g?i Request lên Mission Advantage: https://missionmade.atlassian.net/servicedesk/customer/portals . Công ty s? c? ng??i liên h? và gi?i quy?t v?n ?? c?a b?n.
"Máy tính tôi c? và ch?m, tôi có th? ??i máy m?i không?",B?n có th? g?i Request lên Mission Advantage: https://missionmade.atlassian.net/servicedesk/customer/portals . Công ty s? c? ng??i liên h? và gi?i quy?t v?n ?? c?a b?n.
"Tôi không quen s? d?ng Macbook, tôi có th? dùng máy tính Window không?",B?n có th? g?i Request lên Mission Advantage: https://missionmade.atlassian.net/servicedesk/customer/portals . Công ty s? c? ng??i liên h? và gi?i quy?t v?n ?? c?a b?n.
Tôi ng? tr?a ? ?âu?,"B?n có th? ngh? ng?i t?i ch?, ngay phòng h?p (n?u không có ng??i s? d?ng) và khu v?c sofa c?a công ty. "
Công ty có bao ?n tr?a không?,Công ty không bao ?n tr?a nh?ng có tr? c?p ?n tr?a cho nhân viên. Vui lòng ki?m tra l?i h?p ??ng ?? bi?t thêm chi ti?t. 
Công ty có ??ng ph?c không?,Công ty không bao có ??ng ph?c nh?ng có tr? c?p ??ng ph?c cho nhân viên. Vui lòng ki?m tra l?i h?p ??ng ?? bi?t thêm chi ti?t. 
Công ty có tr? ti?n b?o hi?m không?,"Hi?n t?i, công ty có tr? b?o hi?m y t?, b?o hi?m xã h?i cho nhân viên và b?o hi?m b?o lãnh vi?n phí cho nhân viên và gia ?ình. "
B?o hi?m b?o lãnh vi?n phí làm gì?,"B?o lãnh vi?n phí là hình th?c công ty b?o hi?m thanh toán tr?c ti?p m?t ph?n, t?ng ph?n ho?c t?t c? chi phí y t? cho khách hàng khám và ?i?u tr? t?i b?nh vi?n. Theo ?ó, khách hàng tham gia b?o hi?m s?c kh?e s? ???c s? d?ng d?ch v? b?o lãnh vi?n phí ?i các c? s? y t?, b?nh vi?n trong h? th?ng b?o lãnh vi?n phí c?a công ty b?o hi?m."
Tôi có th? nh? r?ng mi?n phí không?,Vui lòng ki?m tra l?i s? HOTLINE trên th? b?o hi?m b?o lãnh vi?n phí c?a b?n ?? bi?t thêm chi ti?t h?n m?c nha khoa. 
"B?nh vi?n không ch?p nh?n b?o hi?m cùa tôi, tôi có th? liên h? ai v? v?n ?? này?",Vui lòng ki?m tra l?i s? HOTLINE trên th? b?o hi?m b?o lãnh vi?n phí c?a b?n ho?c Miss Trang: trang.cuvuthanh@tmf-group.com ?? bi?t thêm thông tin. 
"Tôi c?n ?ng d?ng Adobe XD ?? xem thi?t k?, tôi có th? yêu c?u mua ? ?âu?",B?n có th? g?i Request lên Mission Advantage: https://missionmade.atlassian.net/servicedesk/customer/portals . Công ty s? c? ng??i liên h? và gi?i quy?t v?n ?? c?a b?n.
"Tôi không ??ng nh?p ???c Jira, tôi ph?i h?i ai?",B?n có th? g?i Request lên Mission Advantage: https://missionmade.atlassian.net/servicedesk/customer/portals . Công ty s? c? ng??i liên h? và gi?i quy?t v?n ?? c?a b?n.
"Gh? c?a tôi b? h?, tôi l?y gh? m?i ? ?âu?","B?n có th? ??i b?t k? gh? nào còn tr?ng ? công ty. N?u v?n ?? v?n ch?a ???c gi?i quy?t, b?n có th? g?i Request lên Mission Advantage: https://missionmade.atlassian.net/servicedesk/customer/portals . Công ty s? c? ng??i liên h? và gi?i quy?t v?n ?? c?a b?n."
T?i sao tôi không chia s? file trên Teams ???c?,"B?n không th? chia s? t?p tin v?i nh?ng ng??i bên ngoài Mission Group. Tuy nhiên, ??i v?i hình ?nh, b?n có th? làm theo các b??c sau:
1. Copy file hình ?nh
2. Paste trong khung h?i tho?i
3. B?m nút ""G?i""
V?i nh?ng file ngoài hình ?nh, b?n có th? chia s? qua email công ty. "
"Tôi m?i ??i gi?y C?n c??c công dân (CCCD), tôi nên g?i ai ?? c?p nh?t l?i?","Vui lòng liên h?: 
1. Miss Trang: trang.cuvuthanh@tmf-group.com
2. People Service: peopleservices@themission.co.uk "
"Tôi m?i sinh em bé, tôi có th? ??ng ký ng??i ph? thu?c trong gi?y t? v?i ai ?? gi?m thu??","Vui lòng liên h?: 
1. Miss Trang: trang.cuvuthanh@tmf-group.com
2. People Service: peopleservices@themission.co.uk "
"Tôi có thai, có th? xin ngh? phép thai s?n ???c bao lâu?","Chính sách thai s?n s? d?a vào quy ??nh pháp lu?t. ?? có th? n?m thông tin chính xác nh?t, vui lòng liên h?: 
1. Miss Trang: trang.cuvuthanh@tmf-group.com
2. People Service: peopleservices@themission.co.uk "
?àn ông có ???c ngh? thai s?n không?,"Chính sách thai s?n s? d?a vào quy ??nh pháp lu?t. ?? có th? n?m thông tin chính xác nh?t, vui lòng liên h?: 
1. Miss Trang: trang.cuvuthanh@tmf-group.com
2. People Service: peopleservices@themission.co.uk "
Ngh? thai s?n l?y ???c bao nhiêu l??ng?,"Chính sách thai s?n s? d?a vào quy ??nh pháp lu?t. ?? có th? n?m thông tin chính xác nh?t, vui lòng liên h?: 
1. Miss Trang: trang.cuvuthanh@tmf-group.com
2. People Service: peopleservices@themission.co.uk "
"Con tôi b? b?nh, tôi có th? ngh? phép ??a con tôi ?i khám ???c không?",
Gi? làm vi?c c?a công ty là m?y gi??,"Gi? làm vi?c c?a công ty Flexible t? 8am - 7pm. Tuy nhiên, b?n c?n ??m b?o làm ?? th?i gian 8hrs/ngày và hoàn t?t công vi?c m?i ngày. "
Công ty có cho Work From Home (WFH) không?,Công ty có ch? ?? WFH
Công ty cho WFH ???c m?y ngày trong 1 tu?n?,B?n c?n liên h? v?i Line Manager ?? bi?t thêm chi ti?t v? hình th?c và th?i gian WFH
Làm sao ?? tôi ???c WFH?,B?n c?n liên h? v?i Line Manager ?? bi?t thêm chi ti?t v? hình th?c và th?i gian WFH
Ly ? khu v?c công c?ng có ???c r?a m?i ngày không?,"Ly ???c r?a s?ch m?i ngày. Tuy nhiên, ?? ??m b?o v? sinh, b?n nên r?a l?i ly tr??c khi s? d?ng ho?c dùng ly cá nhân. "
"Tôi ??i xe, làm sao ?? ??ng ký thông tin bi?n s? xe m?i ?? mi?n phí g?i xe?","Vui lòng liên h?: 
1. Miss Trang: trang.cuvuthanh@tmf-group.com
2. People Service: peopleservices@themission.co.uk"
Tôi không ?i xe thì ???c hoàn s? ti?n g?i xe hàng tháng không?,Công ty không có chính sách hoàn l?i phí g?i xe.
"Tôi m?t th? g?i xe, tôi có th? liên h? ai ?? làm l?i?","Vui lòng liên h?: 
1. Miss Trang: trang.cuvuthanh@tmf-group.com
2. People Service: peopleservices@themission.co.uk"
"Ng??i thân tôi m?t, tôi có ???c ngh? phép không?","Theo chính sách hi?n t?i, b?n có 3 ngày phép h??ng l??ng d?ng Compassionate khi có ng??i thân m?t"
"Tôi ph?i ?ón con tan tr??ng, tôi ???c v? s?m không?",Vui lòng liên h? Line Manager ?? h? tr?
Tôi có th? xin ?i làm tr? không?,Vui lòng liên h? Line Manager ?? h? tr?
Tôi có th? mang máy tính v? nhà không?,B?n có th? mang laptop v? nhà n?u c?n thi?t.
Tôi có th? n?p ??n xin ngh? phép ? ?âu?,B?n có th? email cho Line Manager
"Tôi có th? liên h? ai ?? tìm hi?u v? thu? má, phúc l?i công ty?","Vui lòng liên h?: 
1. Miss Trang: trang.cuvuthanh@tmf-group.com
2. People Service: peopleservices@themission.co.uk"
"N?u tôi gi?i thi?u ng??i vào làm, công ty có ch? ?? th??ng không?",
"V? phong thu?, tôi không h?p h??ng ch? ng?i hi?n t?i, tôi có th? thay ??i v? trí ng?i không?",B?n có th? thay ??i ch? ng?i n?u v? trí b?n mu?n còn tr?ng.
Công ty có mua khoá h?c trên Udemy cho tôi không?,"B?n có th? liên h? Line Manager v? khoá h?c b?n mu?n mua trên Udemy. N?u phù h?p, công ty s? mua trên tài kho?n chung. 
Thông tin tài kho?n Udemy:
- user: made.support@themission.co.uk
- pass: M1ss10nM@d3"
Tôi có th? h?c mi?n phí trên công c? nào?,"B?n có th? h?c trên LinkedIN Learning (tài kho?n cá nhân) ho?c Udemy (tài kho?n chung). 
Thông tin tài kho?n Udemy:
- user: made.support@themission.co.uk
- pass: M1ss10nM@d3"
Tôi có th? mang thú c?ng c?a tôi ?i làm không?,Quy ??nh toà nhà không cho phép thú c?ng.
Gi? ngh? tr?a là khi nào?,B?n có th? ngh? tr?a vào cùng khung gi? nh?ng ??ng nghi?p khác (1PM - 2PM) ho?c flexible tu? theo khung gi? c?a b?n.
Tôi c?n h?c m?t s? khóa h?c nâng cao k? n?ng có tr? phí ?? ph?c v? công vi?c thì công ty có h? tr? không?,Vui lòng liên h? Line Manager ?? có câu tr? l?i chính xác nh?t. 
Tôi mu?n tham gia d? án khác trong công ty thì tôi có th? tham gia cùng lúc nhi?u d? án không?,Vui lòng liên h? Line Manager ?? có câu tr? l?i chính xác nh?t. 
Tôi có ???c h? tr? m?t s? v?n phòng ph?m làm vi?c trên công ty không?,B?n có th? s? d?ng v?n phòng ph?m c?a công ty. 
Certificate có ???c t? ch?n không hay c?p trên ??a KPI?,Vui lòng liên h? Line Manager ?? có câu tr? l?i chính xác nh?t. 
"Tôi có th? h?i các v?n ?? liên quan b?o hi?m s?c kho? v?i ai, ? ?âu? N?u bên b?o hi?m s?c kho? có v?n ?? có ???c ?? xu?t bên b?o hi?m thay th? ???c không? ","Vui lòng liên h?: 
1. Miss Trang: trang.cuvuthanh@tmf-group.com
2. People Service: peopleservices@themission.co.uk"
B?n có th? nói ti?ng Vi?t không?,Tui có th? h? tr? b?n b?ng ti?ng Vi?t
B?n có th? h? tr? ti?ng Anh không?,Tui có th? h? tr? b?n b?ng ti?ng Anh
"If I work for a long time, will the number of annual leave days increase?",Please contact Line Manager to be more clear
When does the company have a company Trip?,"Company Trip is not a mandatory welfare, if any, the company will notify and set the date based on the election of all employees of the company. Particularly in 2023, Comany Trip will take place around August or September."
The 13th month salary is definitely available?,"Currently, Vietnam's labor law has no regulations and records the concept of ""13th month salary"". The 13th month salary here is understood as a bonus that businesses have for workers at the end of the year when businesses have profitable business in order to support and encourage workers to work. According to the Labor Code 2019, the bonus is the amount that the employer rewards the employee based on the annual production and business results and is not required. Therefore, the company is not required to pay the 13th month salary to employees.

In case the company pays the employee's salary in the 13th month, because this is essentially a bonus, the law does not stipulate that the specific salary will be paid to the employee. The 13th month salary is based on the results of production and business, the company's revenue throughout the year and the labor efficiency of the workers has achieved.

In short, depending on the production and business conditions, the company may consider the 13th month salary to encourage employees to participate in the enterprise to increase, the 13th month salary is decided by each company and not It is imperative if in the labor contract between the company and the employee has not agreed, in the rules or the collective labor agreement of the enterprise does not specify this amount if the enterprise losses or Employees who do not complete their jobs may not receive a 13 -month salary."
"Does the company provide me when I work at work? For example: note paper, computer battery, pen, phone battery charger ...",Please contact the support team
"Where can I get stationery equipment (such as pens, computer batteries, paper ...)?",Please contact the support team
How many computer screens can a person use?,Please contact the support team
What can I ask you?,"You can ask me all the problems in the Mission Made Vietnam office. In case I can not answer you right now, I will save the question and contact the relevant department to answer you for 3-5 working days."
Does the company raise salary every 6 months?,"The company will consider the productivity, the expression of the employee to consider the salary of each 6 -month cycle."
When does the company review salary?,"The company will review the salary around December / January and June / July. For more accurate details, you can contact your Line Manager."
How to raise salary?,"Each part, each employee will have a different KPI. To know the exact criteria for raising wages, you can contact your Line Manager."
What criteria to consider raising salary?,You can contact Line Manager for more KPI details and criteria to raise wages.
Does the company organize a birthday party for employees?,The company bought cake to celebrate the collective staff's birthday every month.
Does the company have birthday rewards for employees?,"To congratulate employees, the company donates to each employee 1 day off his birthday every year. You can apply an application for your birthday or before / after your birthday about 3 days."
How many days do I have every year?,"Currently, according to the company policy, each employee has: each year:
- 12 wage breaks
- 1 day off for birthdays
- 3 days off salary for compassionate
- 3 days off wage for Marriage
- 30 days off and benefits a % salary depending on social insurance policies.
For more details, please contact:
1. Miss Trang: page.cuvuthanh@tmf-group.com
2. People Service: peoplepleservices@themission.co.uk"
"If I do not use all the holidays, will it be refunded or for next year?","You will not be refunded for the day but the remaining number of days (maximum 5 days) will be added to the next working year. For more details, please contact People Service: peoplepleservices@themission.co.uk"
"Salary problem, who can I ask?",You can contact Line Manager for salary -related issues.
"My salary is less than last month, you know why?","Sorry but I haven't been able to answer this question yet. However, you can contact Miss Trang: page.cuvuthanh@tmf-group.com to receive answers to this question."
Does the company have bonuses after each project?,"Our company does not have the bonus regime after each project but has a monthly bonus policy for individuals who show outstanding working in the month. To grasp the criteria, please contact your Line Manager."
Does the company have monthly bonus?,"The company has a monthly bonus policy for individuals who show outstanding working in the month. To grasp the criteria, please contact your Line Manager."
"I don't have bug, why not be rewarded?",Please contact your Line Manager and Project Manager for this problem.
Reward mode for programmer,Please contact your Line Manager and Project Manager for this problem.
Reward mode for system engineers,Please contact your Line Manager and Project Manager for this problem.
Reward mode for QA,Please contact your Line Manager and Project Manager for this problem.
Reward mode for project management,Please contact your Line Manager and Project Manager for this problem.
Does the company have Tet gifts?,"Tet gifts for workers are not a mandatory regulations for businesses. Based on the business situation of the company, the target indicators, productivity and the level of work completion can develop the internal regulations of the enterprise on Tet gifts for workers ."
Can I have Christmas?,Christmas is not on the list of public holidays.
"I failed, did I owe money company?","If you fail the certificate, the company will not require any payment. However, you have to wait after the next salary review to be registered."
"I want to take extra classes, does the company sponsor tuition?",You can contact Line Manager for issues related to the company sponsoring courses.
How many days do I have to apply for a resignation?,"Usually, you must apply 45 days in advance. However, to know more accurately, please check the contract you signed with the company."
What is the monthly salary payment date?,The company usually pays from 27 to 30 each month.
Does the company pay OT?,The company has an OT salary
"I work on holidays, does the company pay OT as the State Law?","The OT salary will change according to the state regulations. For the most accurate information, please contact:
1. Miss Trang: page.cuvuthanh@tmf-group.com
2. People Service: peoplepleservices@themission.co.uk"
Does the company eat year -end?,The company has budgets for these events and this budget will be decided by employees.
Does the company give birthday gifts to employees?,"Currently, the company does not have a birthday gift regime for employees. However, the company has a collective birthday for employees as well as offers a salary day for employees on their birthday."
Does the company sponsor English for employees?,"Currently, the company does not have this policy."
"My computer is broken, who can I contact?",You can send requests to Mission Advantage: https://missionmade.atlassian.net/servicalesk/customer/portals. The company will send people to contact and solve your problem.
"My computer is old and slow, can I change a new device?",You can send requests to Mission Advantage: https://missionmade.atlassian.net/servicalesk/customer/portals. The company will send people to contact and solve your problem.
"I am not used to using Macbook, can I use a Window computer?",You can send requests to Mission Advantage: https://missionmade.atlassian.net/servicalesk/customer/portals. The company will send people to contact and solve your problem.
Where do I take a nap?,"You can rest on the spot, right in the meeting room (without users) and the sofa area of ??the company."
Does the company have lunch?,The company does not have lunch but has lunch allowance for employees. Please check the contract for more details.
Does the company have uniforms?,The company does not have uniforms but has a uniform allowance for employees. Please check the contract for more details.
Does the company pay insurance?,"Currently, the company has paid health insurance and social insurance for employees and hospital waste insurance for employees and families."
What is the hospital fee guarantee insurance?,"Institute guarantee is a form of insurance company directly, partially or all medical expenses for customers to examine and treat at the hospital. Accordingly, customers participating in health insurance will be used for hospital guarantee services for health facilities and hospitals in the hospital fee guarantee system of the insurance company."
Can I free tooth extraction?,Please check the hotline on your hospital fee insurance card for more details of dental limits.
"The hospital does not accept my insurance, who can I contact this issue?",Please check the hotline on your hospital fee guarantee card or Miss Trang: page.cuvuthanh@tmf-group.com for more information.
"I need to apply Adobe XD to see the design, where can I ask to buy it?",You can send requests to Mission Advantage: https://missionmade.atlassian.net/servicalesk/customer/portals. The company will send people to contact and solve your problem.
"I can't log in Jira, who I have to ask?",You can send requests to Mission Advantage: https://missionmade.atlassian.net/servicalesk/customer/portals. The company will send people to contact and solve your problem.
"My chair was broken, where did I get a new chair?","You can exchange any vacant seats at the company. If the problem has not been solved, you can send the request to the Mission Advantage: https://missionmade.atlassian.net/servicedesk/customer/portals. The company will send people to contact and solve your problem."
Why can't I share files on Teams?,"You cannot share files with people outside the Mission Group. However, for images, you can follow these steps:
1. Copy image file
2. Paste in the conversation frame
3. Click the ""Send"" button
With files outside the image, you can share via the company email."
"I just changed the Citizenship Code (CCCD), who should I send it to update?","Please contact:
1. Miss Trang: page.cuvuthanh@tmf-group.com
2. People Service: peoplepleservices@themission.co.uk"
"I have just given birth to a baby, can I register the dependence in paperwork to reduce taxes?","Please contact:
1. Miss Trang: page.cuvuthanh@tmf-group.com
2. People Service: peoplepleservices@themission.co.uk"
"I am pregnant, how long can I take maternity leave?","Maternity policies will be based on the law. For the most accurate information, please contact:
1. Miss Trang: page.cuvuthanh@tmf-group.com
2. People Service: peoplepleservices@themission.co.uk"
Can men get maternity leave?,"Maternity policies will be based on the law. For the most accurate information, please contact:
1. Miss Trang: page.cuvuthanh@tmf-group.com
2. People Service: peoplepleservices@themission.co.uk"
How much salary is the maternity leave?,"Maternity policies will be based on the law. For the most accurate information, please contact:
1. Miss Trang: page.cuvuthanh@tmf-group.com
2. People Service: peoplepleservices@themission.co.uk"
"Can my child get sick, can I leave my child to see a doctor?",Please contact Line Manager to support
What time is the company's working hours?,"The working hours of Flexible Company from 8AM - 7PM. However, you need to make sure to do enough time 8HRS/day and complete the job every day."
Does the company give work from Home (WFH)?,The company has WFH mode
How many weeks for WFH for WFH in a week?,You need to contact Line Manager for more details about the form and time of WFH
How do I get WFH?,You need to contact Line Manager for more details about the form and time of WFH
Can a glass in public areas wash every day?,"Ly is washed every day. However, to ensure hygiene, you should rinse the glass before using or use a personal glass."
"I change the car, how to register the new license plate information to free parking?","Please contact:
1. Miss Trang: page.cuvuthanh@tmf-group.com
2. People Service: peoplepleservices@themission.co.uk"
"If I do not ride the car, is the monthly deposit?",The company has no policy to refund the parking fee.
"I lost the parking card, who can I contact to do it again?","Please contact:
1. Miss Trang: page.cuvuthanh@tmf-group.com
2. People Service: peoplepleservices@themission.co.uk"
"My relatives died, can I take leave?","According to the current policy, you have 3 days of paying a compassionate form when a loved one dies"
"I have to take my child to school, can I go home early?",Please contact Line Manager to support
Can I be late to work?,Please contact Line Manager to support
Can I bring a computer home?,You can bring your laptop home if necessary.
Where can I apply for leave?,You can email Line Manager
Who can I contact to learn about taxes and company welfare?,"Please contact:
1. Miss Trang: page.cuvuthanh@tmf-group.com
2. People Service: peoplepleservices@themission.co.uk"
"If I introduce people to work, does the company have a reward regime?",Please contact Line Manager to support
"About feng shui, I am not suitable for the current seat, can I change the seating position?",You can change the seat if the position you want is empty.
Does the company buy a course on Udemy for me?,"You can contact Line Manager about the course you want to buy on Udemy. If appropriate, the company will buy on the shared account.
Udemy account information:
- User: made.support@themission.co.uk
- Pass: m1ss10nm@d3"
