Question (Vietnamese),Translation (English)
Cìng ty c¢ th??ng hÖng th†ng?,Does the company have monthly bonus?
"Tìi khìng c¢ bug, t?i sao khìng ???c th??ng?","I don't have bug, why not be rewarded?"
Ch? ?? th??ng dÖnh cho l?p trçnh viàn,Reward mode for programmer
Ch? ?? th??ng dÖnh cho k? s? h? th?ng,Reward mode for system engineers
Ch? ?? th??ng dÖnh cho QA,Reward mode for QA
Ch? ?? th??ng dÖnh cho qu?n l? d? †n,Reward mode for project management
Cìng ty c¢ quÖ T?t khìng?,Does the company have Tet gifts?
Tìi ???c ngh? Gi†ng sinh khìng?,Can I have Christmas?
"Tìi thi r?t, tìi c¢ n? cìng ty ti?n khìng?","I failed, did I owe money company?"
"Tìi mu?n h?c thàm, cìng ty c¢ tÖi tr? ti?n h?c?","I want to take extra classes, does the company sponsor tuition?"
Tìi ph?i n?p ??n xin ngh? vi?c bao nhiàu ngÖy?,How many days do I have to apply for a resignation?
NgÖy tr? ti?n l??ng m?i th†ng lÖ bao nhiàu?,What is the monthly salary payment date?
Cìng ty c¢ tr? ti?n OT khìng?,Does the company pay OT?
"Tìi lÖm ngÖy ngh?, cìng ty c¢ tr? ti?n OT nh? lu?t NhÖ n??c?","I work on holidays, does the company pay OT as the State Law?"
Cìng ty c¢ ?n T?t niàn khìng?,Does the company eat year -end?
Cìng ty c¢ t?ng quÖ sinh nh?t cho nhÉn viàn khìng?,Does the company give birthday gifts to employees?
Cìng ty c¢ tÖi tr? chi ph° h?c ti?ng Anh cho nhÉn viàn khìng?,Does the company sponsor English for employees?
"M†y t°nh tìi b? h?, tìi c¢ th? liàn h? ai?","My computer is broken, who can I contact?"
"M†y t°nh tìi c? vÖ ch?m, tìi c¢ th? ??i m†y m?i khìng?","My computer is old and slow, can I change a new device?"
"Tìi khìng quen s? d?ng Macbook, tìi c¢ th? dóng m†y t°nh Window khìng?","I am not used to using Macbook, can I use a Window computer?"
Tìi ng? tr?a ? ?Éu?,Where do I take a nap?
Cìng ty c¢ bao ?n tr?a khìng?,Does the company have lunch?
Cìng ty c¢ ??ng ph?c khìng?,Does the company have uniforms?
Cìng ty c¢ tr? ti?n b?o hi?m khìng?,Does the company pay insurance?
B?o hi?m b?o l?nh vi?n ph° lÖm gç?,What is the hospital fee guarantee insurance?
Tìi c¢ th? nh? r?ng mi?n ph° khìng?,Can I free tooth extraction?
"B?nh vi?n khìng ch?p nh?n b?o hi?m cóa tìi, tìi c¢ th? liàn h? ai v? v?n ?? nÖy?","The hospital does not accept my insurance, who can I contact this issue?"
"L??ng tìi b? thi?u, tìi liàn h? ai ?ïi l?i?","My salary is missing, who I contacted?"
"Tìi c?n ?ng d?ng Adobe XD ?? xem thi?t k?, tìi c¢ th? yàu c?u mua ? ?Éu?","I need to apply Adobe XD to see the design, where can I ask to buy it?"
"Tìi khìng ??ng nh?p ???c Jira, tìi ph?i h?i ai?","I can't log in Jira, who I have to ask?"
Cìng ty c¢ gel r?a tay khì khìng?,Does the company have dry hand wash gel?
"Gh? c?a tìi b? h?, tìi l?y gh? m?i ? ?Éu?","My chair was broken, where did I get a new chair?"
T?i sao tìi khìng chia s? file tràn Teams ???c?,Why can't I share files on Teams?
"Tìi m?i ??i gi?y C?n c??c cìng dÉn (CCCD), tìi nàn g?i ai ?? c?p nh?t l?i?","I just changed the Citizenship Code (CCCD), who should I send it to update?"
"Tìi m?i sinh em bÇ, tìi c¢ th? ??ng k? ng??i ph? thu?c trong gi?y t? v?i ai ?? gi?m thu??","I have just given birth to a baby, can I register the dependence in paperwork to reduce taxes?"
"Tìi c¢ thai, c¢ th? xin ngh? phÇp thai s?n ???c bao lÉu?","I am pregnant, how long can I take maternity leave?"
?Ön ìng c¢ ???c ngh? thai s?n khìng?,Can men get maternity leave?
Ngh? thai s?n l?y ???c bao nhiàu l??ng?,How much salary is the maternity leave?
"Con tìi b? b?nh, tìi c¢ th? ngh? phÇp ??a con tìi ?i kh†m ???c khìng?","Can my child get sick, can I leave my child to see a doctor?"
Gi? lÖm vi?c c?a cìng ty lÖ m?y gi??,What time is the company's working hours?
Cìng ty c¢ cho Work From Home (WFH) khìng?,Does the company give work from Home (WFH)?
Cìng ty cho WFH ???c m?y ngÖy trong 1 tu?n?,How many weeks for WFH for WFH in a week?
LÖm sao ?? tìi ???c WFH?,How do I get WFH?
Ly ? khu v?c cìng c?ng c¢ ???c r?a m?i ngÖy khìng?,Can a glass in public areas wash every day?
"Tìi ??i xe, lÖm sao ?? ??ng k? thìng tin bi?n s? xe m?i ?? mi?n ph° g?i xe?","I change the car, how to register the new license plate information to free parking?"
Tìi khìng ?i xe thç ???c hoÖn s? ti?n g?i xe hÖng th†ng khìng?,"If I do not ride the car, is the monthly deposit?"
"Tìi m?t th? g?i xe, tìi c¢ th? liàn h? ai ?? lÖm l?i?","I lost the parking card, who can I contact to do it again?"
"Ng??i thÉn tìi m?t, tìi c¢ ???c ngh? phÇp khìng?","My relatives died, can I take leave?"
"Tìi ph?i ?¢n con tan tr??ng, tìi ???c v? s?m khìng?","I have to take my child to school, can I go home early?"
Tìi c¢ th? xin ?i lÖm tr? khìng?,Can I be late to work?
Tìi c¢ th? mang m†y t°nh v? nhÖ khìng?,Can I bring a computer home?
Tìi c¢ th? n?p ??n xin ngh? phÇp ? ?Éu?,Where can I apply for leave?
"Tìi c¢ th? liàn h? ai ?? tçm hi?u v? thu? m†, ph£c l?i cìng ty?",Who can I contact to learn about taxes and company welfare?
"N?u tìi gi?i thi?u ng??i vÖo lÖm, cìng ty c¢ ch? ?? th??ng khìng?","If I introduce people to work, does the company have a reward regime?"
"V? phong thu?, tìi khìng h?p h??ng ch? ng?i hi?n t?i, tìi c¢ th? thay ??i v? tr° ng?i khìng?","About feng shui, I am not suitable for the current seat, can I change the seating position?"
Cìng ty c¢ mua kho† h?c tràn Udemy cho tìi khìng?,Does the company buy a course on Udemy for me?
Tìi c¢ th? h?c mi?n ph° tràn cìng c? nÖo?,Which tool can I study for free?
Tìi c¢ th? mang th£ c?ng c?a tìi ?i lÖm khìng?,Can I bring my pet to work?
Gi? ngh? tr?a lÖ khi nÖo?,When is lunch break?
Tìi c?n h?c m?t s? kh¢a h?c nÉng cao k? n?ng c¢ tr? ph° ?? ph?c v? cìng vi?c thç cìng ty c¢ h? tr? khìng?,"I need to study some paid skills to serve the work, does the company support?"
Tìi mu?n tham gia d? †n kh†c trong cìng ty thç tìi c¢ th? tham gia cóng l£c nhi?u d? †n khìng?,"I want to join another project in the company, can I join many projects at the same time?"
Tìi c¢ ???c h? tr? m?t s? v?n phïng ph?m lÖm vi?c tràn cìng ty khìng?,Did I get some support for some stationery on the company?
Certificate c¢ ???c t? ch?n khìng hay c?p tràn ??a KPI?,Is Certificate optional or superior to bring KPI?
"Tìi c¢ th? h?i c†c v?n ?? liàn quan b?o hi?m s?c kho? v?i ai, ? ?Éu? N?u bàn b?o hi?m s?c kho? c¢ v?n ?? c¢ ???c ?? xu?t bàn b?o hi?m thay th? ???c khìng?","I can ask whom related to health insurance related to whom, where? If the health insurance party has a problem with the Insurance replacement insurance?"
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
