Question (Vietnamese),Translation (English)
"Về phong thuỷ, tôi không hợp hướng chỗ ngồi hiện tại, tôi có thể thay đổi vị trí ngồi không?","About feng shui, I am not suitable for the current seat, can I change the seating position?"
Công ty có mua khoá học trên Udemy cho tôi không?,Does the company buy a course on Udemy for me?
Tôi có thể học miễn phí trên công cụ nào?,Which tool can I study for free?
Tôi có thể mang thú cưng của tôi đi làm không?,Can I bring my pet to work?
Giờ nghỉ trưa là khi nào?,When is lunch break?
Tôi cần học một số khóa học nâng cao kĩ năng có trả phí để phục vụ công việc thì công ty có hỗ trợ không?,"I need to study some paid skills to serve the work, does the company support?"
Tôi muốn tham gia dự án khác trong công ty thì tôi có thể tham gia cùng lúc nhiều dự án không?,"I want to join another project in the company, can I join many projects at the same time?"
Tôi có được hỗ trợ một số văn phòng phẩm làm việc trên công ty không?,Did I get some support for some stationery on the company?
Certificate có được tự chọn không hay cấp trên đưa KPI?,Is Certificate optional or superior to bring KPI?
"Tôi có thể hỏi các vấn đề liên quan bảo hiểm sức khoẻ với ai, ở đâu? Nếu bên bảo hiểm sức khoẻ có vấn đề có được đề xuất bên bảo hiểm thay thế được không?","I can ask whom related to health insurance related to whom, where? If the health insurance party has a problem with the Insurance replacement insurance?"
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,#VALUE!
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
